from,to,type,count
sugiarto_oka,kanopimedia,retweet,1
takakanabadi,AmnestyID,retweet,1
takakanabadi,CasperBeWin1,retweet,1
tanuq_w,FsbnK,retweet,1
tanuq_w,KasbiIndo,retweet,1
tanuq_w,Lini_ZQ,retweet,1
ttaufik124,SaveMoslem1,retweet,1
ttaufik124,mathsoul1,retweet,1
ucokseparoh,QaillaAsyiqah,retweet,2
wahdinata,kanopimedia,retweet,1
wm_ade86,QaillaAsyiqah,retweet,1
